route_id,agency_id,route_short_name,route_long_name,route_type,route_color,competent_authority,route_desc
0a9103b5eb4ea5aef52f4d1e02c25121,60,14,Rapla raudteejaam - Alu - Kodila - Ohulepa,3,3bb5db,Rapla MV,"Peatused Ohulepa ja Ohulepa mõis ainult ettetellimisel. Ettetellimiseks helistage hiljemalt sõidule eelneva päeva kell 18.00-ks tel. 53000497"
6612310ee8fb071df05a2d23940468c0,60,14,Otepää-Restu-Keeni-Sangaste-Valga,3,3bb5db,Valga MV,"Liin ei ole käigus riigipühadel<br>TASUTA<br>Liin on käigus koolipäevadel"
433e6450c2397eb7671f42f1bb7effa8,100047,140,Jõgeva - Siimusti - Saduküla - Jõune - Siimusti - Jõgeva,3,3bb5db,Jõgeva ÜTK,"Käigus ka riigipühal juhul, kui riigipühale järgneb tööpäev<br>TASUTA"
285f69f4704d2e24bf01b10ac3ff13a6,60,140,Tallinn - Kose - Ravila - Ardu,3,3bb5db,Harjumaa ÜTK,
fb1ed5be5dc3c4dd574283dd52f5e199,71,140A,Võru - Luutsniku - Raagi - Murati - Misso,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel"
5056c0dbad071f60b54bd985a123ce35,71,140B,Võru - Luutsniku - Sarise - Murati - Misso,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel<br>Hürsi, Õunaaia, Kõo-Kunno, Sandi ja Kirikumäe peatusi teenindatakse ainult nõudmisel. Väljumissoovi korral nõudepeatuses teavitada juhti sisenemisel. Pealetulekusoovi korral nõudepeatusest vajalik ettetellimine hiljemalt kella 9-ks hommikul telefonil 52 60065."
adca575c6ba9ff8dcbdff359662b465c,78,141,Tartu - Tallinn,3,660000,Maanteeamet,
fe99c940118568824fcddc3cdd57aab3,71,141,Misso - Vastseliina - Võru,3,3bb5db,Võru MV,
3bc0209b30e6a4f8b88bc859e5eeffb0,71,172B,Antsla - Hänike - Sõmerpalu - Võru,3,3bb5db,Võru MV,
659fafa27dc1b5abe5b864feafc8bd77,100047,141,Jõgeva-Siimusti-Saduküla-Mäända-Härjanurme-Jõgeva,3,3bb5db,Jõgeva ÜTK,"Liin ei ole käigus riigipühadel.<br>TASUTA<br>Käigus kõigil tööpäevadel v.a. suvine koolivaheaeg."
7d5ed9ae76805b42edca87464bd1be8c,71,142,Võru - Vastseliina - Luhamaa - Murati - Misso,3,3bb5db,Võru MV,"Käigus pühapäeviti ja kõikidel riigipühadel sõltumata riigipüha nädalapäevast"
0b68987db2cc43782e1063035d96e5bf,100047,142,Jõgeva - Siimusti - Saduküla - Jõune - Siimusti - Jõgeva,3,3bb5db,Jõgeva ÜTK,"Liin ei ole käigus riigipühadel<br>TASUTA<br>Käigus suvisel koolivaheajal tööpäevadel."
41976080d3a6e5025638382eaf7694fc,78,143,Tallinn - Tartu,3,660000,Maanteeamet,
b0054946a35e2ebfc4deb59abde4216f,100047,143,Jõgeva-Siimusti-Saduküla-Puurmani-Jõune-Siimusti-Jõgeva,3,3bb5db,Jõgeva ÜTK,"Liin ei ole käigus riigipühadel<br>TASUTA<br>Kursi tee, Laasme ja Puurmani peatusesse sõidab buss tellimuse alusel, tellimus esitada 6 tundi enne bussi väljumist lähtepeatusest telefonil 776 0321"
893a69e08a8693243659469302bc287c,71,143A,Võru - Vastseliina - Luhamaa - Misso,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel"
2861dd880952ab2994dd6e591b357621,71,143B,Misso - Luhamaa - Vastseliina - Võru,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel"
992bb837ee5e510d76393a4fa251d5dc,632,144,Tartu - Räpina - Värska,3,660000,Maanteeamet,"Liin ei ole käigus 25.12.2023"
8c6fa35a4b97f8ac37be80e605806e9d,71,144,Võru - Vastseliina - Misso - Ruusmäe - Haanja,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel"
7f603647a06972a10ab8618498d86568,100047,144,Jõgeva - Siimusti - Jõune - Tammiku - Saduküla - Jõgeva,3,3bb5db,Jõgeva ÜTK,"Liin ei ole käigus riigipühadel<br>TASUTA"
60b8165baca8ca2764604f29b665f09a,60,144,Tallinn - Kose,3,3bb5db,Harjumaa ÜTK,
c5322387fc38f24dd09ca33356a6ffaa,78,145,Tartu - Viljandi - Kilingi-Nõmme - Pärnu,3,660000,Maanteeamet,
876d68a62977cd76d5e4a68f5007ba1c,71,145,Võru - Vastseliina - Misso - Luutsniku - Võru,3,3bb5db,Võru MV,"Käigus pühapäeviti ja kõikidel riigipühadel sõltumata riigipüha nädalapäevast"
eba7e72ccf87b1fa07d364218aabcfc4,100047,145,Jõgeva  - Painküla - Jõune - Saduküla - Siimusti - Jõgeva,3,3bb5db,Jõgeva ÜTK,"TASUTA<br>Liin ei ole käigus riigipühadel. Liin ei ole käigus suvisel koolivaheajal"
15a6cedfbd4489b2dd263833f11ada14,50,145,Tallinn - Harku - Keila - Harju-Elekter - Paldiski,3,3bb5db,Harjumaa ÜTK,
9a54c12d53a84373c552cddbafc5fdf1,71,146,Võru - Haanja - Misso - Haanja - Võru,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel<br>HINO, KURÕ ja RAMMUKA peatusi teenindatakse ainult nõudmisel. Väljumissoovi korral teavitada bussijuhti sisenemisel. Pealetulekusoovi korral nõudepeatusest vajalik ettetellimine eelneval päeval telefonil 5260065 enne kella 19:00.<br>Võimalus sõita otse Lõuna-Eesti Haiglasse."
